,,
MIN,Item Name,Department
114745326,FTO Continental Meat & Cheese Party Platter (80 Pieces),Deli
114597925,FTO Indian Style Snack Selection (50 Piece) 1092g,Deli
111988736,FTO Small Cheese Platter (5 Wedges),Deli
111988710,FTO Ploughman's Platter,Deli
111988752,FTO Large Cheese Platter (6 Wedges),Deli
105957503,FTO Cooked Meats Platter (24 Slices),Deli
114588244,FTO Oriental Style Snack Selection (48 Piece) 822g,Deli
111711454,MORRISONS QUICHE LORRAINE 900G,Deli
111711331,MORRISONS CHEESE & ONION QUICHE 900G,Deli
114718555,FTO Mixed Olives With Herbs 500g (Serves 8),Deli
109036496,FTO Market Street Whole Deli Pork Pie (Serves 10),Deli
114589204,FTO American Style Snack Selection (48 Piece) 1020g,Deli
109040823,FTO Market Street Whole Deli Pork Pie with Egg (Serves 10),Deli
111988525,FTO Spicy Snack Platter (42 Pieces),Deli
109040938,Slicing Pork Pie With Egg  125g,Deli
104775901,Large Melton Mowbray Pork Pie,Deli
109038491,Slicing Pork Pie 125g,Deli
105813649,Morrisons Spray Carnation Flowers Bouquet,Flowers
106428793,Morrisons Chrysanthemum,Flowers
114564672,FTO Classic Sandwich Platter (20 Pieces) - Eat On Same Day,Salad Bar
114564648,FTO Cooked Meat Sandwich Platter (20 Pieces) - Eat On Same Day,Salad Bar
114564787,FTO Wrap Platter (16 Pieces) - Eat On Same Day,Salad Bar
114131199,FTO Party Sandwich Platter (24 Pieces) - Eat On Same Day,Salad Bar
114564816,FTO Vegetarian Sandwich Platter (20 Pieces) - Eat On Same Day,Salad Bar
114027033,FTO Del Monte Fruit Platter 1.1kg,Salad Bar
114564613,FTO The Best Premium Sandwich Platter (16 Pieces) - Eat On Same Day,Salad Bar
114182501,FTO Gluten Free Sandwich Platter (8 Pieces) - Eat On Same Day,Salad Bar
114200879,FTO Sushi Platter (40 Pieces) - Eat On Same Day,Salad Bar
104490243,FTO Deli Style Potato Salad 900g (Serves 6),Salad Bar
104490331,FTO Italian Style Pasta Salad 750g (Serves 6),Salad Bar
104490180,FTO Deli Style Coleslaw 900g (Serves 6),Salad Bar
102780968,FTO Spicy Chicken Pasta 750g (Serves 6),Salad Bar
112657736,FTO Bacon & Cheese Pasta Salad 750g (Serves 6),Salad Bar
104490673,FTO Gemelli Pasta with Tuna & Sweetcorn 900g (Serves 6),Salad Bar
112658122,FTO Sweet Chilli Noodles 750g (Serves 6),Salad Bar
112675395,FTO Tomato and Basil CousCous 750g (Serves 6),Salad Bar
114707899,FTO Large DIY Nachos Kit - Extra Cheesy (Serves 2),Salad Bar
114707151,FTO Large DIY Nachos Kit - Spicy Beef (Serves 2),Salad Bar
109463922,Morrisons 10 Inch Thin Stonebaked Veg Supreme Pizza,Salad Bar
109463762,10 Inch Extra Cheesy Pizza Thin Stonebaked Pizza,Salad Bar
