MIN,Item Name,Department
104738069,Morrisons White Farmhouse 400G,In Store Bakery
104738131,M Large Tiger Baps 6 Pack,In Store Bakery
104738296,Morrisons Coburg Cob 400G,In Store Bakery
104738317,Wheat Spelt & Rye Bread 400G,In Store Bakery
104738325,Chocolate Twist 2 Pack,In Store Bakery
104739424,Morrisons The Best Fruit Scones 4 Pack,In Store Bakery
104739512,Hot Cross Buns 4Pk,In Store Bakery
104739619,Scottish Crumpets 6 Pack,In Store Bakery
104742025,M Finger Rolls White 6 Pack ,In Store Bakery
104742480,M Sub Rolls White Bread 4 Pack ,In Store Bakery
104742501,M Large Baps Cheese/Onion 4Pk ,In Store Bakery
104742869,M Large Granary Baps 6 Pack ,In Store Bakery
104744178,M Large Baps/ Wholemeal 6 Pack,In Store Bakery
104744573,M Crusty Rolls 6 Pack,In Store Bakery
104744611,M Tiger Rolls 4 Pack,In Store Bakery
104744830,Potato Scones 6 Pack,In Store Bakery
104745461,Doughnuts/Sugar Ring 6Pk,In Store Bakery
104745576,Doughnuts/Raspberry 5Pk,In Store Bakery
104745613,Doughnuts/Custard 5Pk,In Store Bakery
104745630,Doughnuts/Strawberry 5Pk,In Store Bakery
104745832,Iced Ring Doughnuts 4Pk,In Store Bakery
104745891,Scotch Morning Rolls 6Pk,In Store Bakery
104745912,Well Fired Scotch Rolls 6Pk,In Store Bakery
104746157,M Jam Doughnuts 5 Pack (Non Bakery Stores),In Store Bakery
104750682,Large White Baps 2Pk,In Store Bakery
104788592,Market Street Large White Baps 18Pk,In Store Bakery
104814981,Wheat Spelt & Rye Tin Loaf 800G,In Store Bakery
105055981,Large Wholemeal Baps 2Pk,In Store Bakery
105735290,Tiger Bloomer Sliced 800G,In Store Bakery
105735361,Tiger Loaf Sliced 400G,In Store Bakery
105775591,Pain Au Raisin 2Pk,In Store Bakery
106308118,Morrisons Black Pepper And Sea Salt Tiger Short Stick,In Store Bakery
106308441,Morrisons Black Pepper And Sea Salt Bloomer 400G,In Store Bakery
106337541,Morrisons Sea Salt & Pepper Bloomer 800G,In Store Bakery
106361445,Morrisons Farmhouse Sliced Loaf 400G,In Store Bakery
106361488,Morrisons Farmhouse Sliced Loaf 800G,In Store Bakery
107168209,Morrisons Butter Croissants 4Pk,In Store Bakery
107391591,Morrisons Hand Stretched Ciabatta,In Store Bakery
107391726,Morrisons Large Salt & Pepper Baps 6Pk,In Store Bakery
107391742,Morrisons Fruited Teacakes 4 Pack,In Store Bakery
108154212,Morrisons Stonebaked Ciabatta 2Pk,In Store Bakery
108221729,Morrisons Cinnamon Swirl,In Store Bakery
108363102,Morrisons Large Salt & Pepper Baps 6Pk,In Store Bakery
109706912,Morrisons Pain Au Chocolat 2Pk,In Store Bakery
110114834,Morrisons Panini 2Pk,In Store Bakery
110270191,Morrisons Almond Croissants 2Pk,In Store Bakery
110455129,Morrisons Pain Au Chocolat,In Store Bakery
110986069,Morrisons Medium Granary Baps 4Pk,In Store Bakery
110986106,Morrisons Medium Wholemeal Baps 4Pk,In Store Bakery
110998781,Morrisons Ciabattas 2 Pack,In Store Bakery
111004653,Morrisons Salted Popcorn 120G,In Store Bakery
111013630,Morrisons 6 Medium Cheese Baps,In Store Bakery
111040030,Morrisons 24 Medium White Baps,In Store Bakery
111167276,Market Street Snack Ciabattas 4Pk,In Store Bakery
111250491,Morrisons Toffee Popcorn 250G,In Store Bakery
113153100,Market Street Vienna Rolls 4Pk,In Store Bakery
113156925,Market Street Deli Rolls With Sourdough 2Pk,In Store Bakery
102796484,Prepared In Store British Leg Of Lamb 2.25Kg,Lamb
102796505,Prepared In Store British Lamb Shank 370G,Lamb
102796548,Prepared In Store British Lamb Shoulder 900G,Lamb
102796581,Prepared In Store British Lamb Chops 350G,Lamb
102796636,Prepared In Store British Rack Of Lamb 625G,Lamb
102796679,Market Street British Spring Lamb Ribs 500G,Lamb
102796804,Morrisons British Lamb Breast 325G,Lamb
102796812,Morrisons British Lamb Stuffed Breast 340G,Lamb
102796901,Prepared In Store Scotch Leg Of Lamb 1Kg,Lamb
102796927,Prepared In Store Scotch Lamb Shank 400G,Lamb
102796960,Market Street Scotch Spring Lamb Shoulder 0.9Kg,Lamb
102797006,Market Street Scotch Spring Lamb Chops 0.35Kg,Lamb
102797090,Market Street Scottish Lamb Ribs 0.5Kg,Lamb
102797129,Market Street Scotch Spring Lamb Leg Steak 0.4Kg,Lamb
102797305,Market Street Welsh Spring Lamb Shank 0.48Kg,Lamb
102797348,Market Street Welsh Spring Lamb Shoulder 1.1Kg,Lamb
102797381,Prepared In Store Welsh Lamb Chops 340G,Lamb
102797444,Prepared In Store Welsh Rack Of Lamb,Lamb
102797487,Market Street Welsh Lamb Ribs 0.5Kg,Lamb
102797516,Morrisons Welsh Lamb Leg Steak 280G,Lamb
110604243,Market Street Prepared In Store Flavoured Lamb Leg Steak 0.4Kg,Lamb
110615698,Market Street Flavoured Lamb Ribs 0.5Kg,Lamb
108561184,Morrisons Pumpkin,Other Veg
104775901,Large Melton Mowbray Pork Pie ,Pies And Snacks
109463501,10 Inch Might Meaty Deep Pan Pizza,Pizza Fresh Prep
109463607,Morrisons 10 Inch Deep Pan Double Pepperoni Pizza,Pizza Fresh Prep
109463640,10 Inch Extra Cheesy Deep Pan Pizza,Pizza Fresh Prep
109463762,10 Inch Extra Cheesy Pizza Thin Stonebaked Pizza,Pizza Fresh Prep
109463922,Morrisons 10 Inch Thin Stonebaked Veg Supreme Pizza,Pizza Fresh Prep
109463965,10 Inch Bbq Chicken & Bacon Feast Thin Stonebaked Pizza,Pizza Fresh Prep
109464079,10 Inch Mighty Meaty Thin Stonebaked Pizza,Pizza Fresh Prep
109464335,10 Inch Garlic & Cheese Bread Thin Stonebaked,Pizza Fresh Prep
109464394,10 Inch Pepperoni Thin Stonebaked Pizza,Pizza Fresh Prep
109464669,14 Inch Mighty Meaty Thin & Crispy Pizza,Pizza Fresh Prep
109464731,Morrisons 14 Inch Thin Stonebaked Double Pepperoni Pizza,Pizza Fresh Prep
109464781,14 Inch Extra Cheesy Feast Thin & Crispy Pizza,Pizza Fresh Prep
111086759,"Market Street Veggie Supreme Deep Pan 10"" Pizza",Pizza Fresh Prep
112757956,"Market Street Ham & Pineapple Stonebaked 10"" Pizza",Pizza Fresh Prep
112758051,"Market Street Sizzler Stonebaked 10"" Pizza",Pizza Fresh Prep
112764398,"Market Street Sizzler Thin Stonebaked 14"" Pizza",Pizza Fresh Prep
113685691,"Morrisons 10"" Chicken & Nduja Pizza",Pizza Fresh Prep
